album_id,yupoo_h1,yupoo_brand,price,batch
212772259,HUBBUYCN 11,How to Buy,11,Standard
226514945,410Y【MAX BATCH】W NIKE AIR MAX PLUS SWRVSKI FZ4237-001 9,Nike/耐克,410,MAX BATCH
224654006,450Y 【STAR  BATCH】NIKE AIR ZOOM G.T. CUT蓝红CZ0175 400 10,Nike/耐克,450,STAR  BATCH
224830227,160Y 【PF  BATCH】NIKE P-6000 SE黑金IB2986 003 10,Nike/耐克,160,PF  BATCH
224830106,170Y 【SS  BATCH】PEGASUS PLUS粉白FQ7262 103 10,Nike/耐克,170,SS  BATCH
224726774,150Y 【SS  BATCH】NIKE SB FORCE 58蓝白DV5477404 10,Nike/耐克,150,SS  BATCH
224726794,150Y 【SS  BATCH】NIKE SB FORCE 58米棕DV5477 203 10,Nike/耐克,150,SS  BATCH
224653419,250Y 【MAX  BATCH】AIR MAXPLUS黑色604133 050 19,Nike/耐克,250,MAX  BATCH
224726953,170Y 【SS  BATCH】NIKE V2K RUN白银FD0736 011 10,Nike/耐克,170,SS  BATCH
224726933,170Y 【SS  BATCH】NIKE VOMERO PLUS QS棕白IO4482 001 10,Nike/耐克,170,SS  BATCH
224830269,240Y 【SS  BATCH】SBAIR MAX95白蓝HQ8492 400 10,Nike/耐克,240,SS  BATCH
224830385,150Y 【SS  BATCH】NIKE FREE METCON 6黑白FJ7127 010 10,Nike/耐克,150,SS  BATCH
224726896,160Y 【PF  BATCH】NIKE P-6000白咖IO1904 104 10,Nike/耐克,160,PF  BATCH
224653659,220Y 【TOP  BATCH】JA3EP蓝灰HF2794 100 10,Nike/耐克,220,TOP  BATCH
224653540,150Y 【SS  BATCH】W NIKE FREE METCON 6白蓝FJ7126 004 10,Nike/耐克,150,SS  BATCH
224653505,330Y 【MAX  BATCH】NIKE SHOX TL银白AR3566 103 10,Nike/耐克,330,MAX  BATCH
224653431,330Y 【MAX  BATCH】NIKE SHOX TL黑红CN0151 003 10,Nike/耐克,330,MAX  BATCH
224653484,350Y 【BEST  BATCH】KOBE VIII PROTRO黑黄白HF9550 001 10,Nike/耐克,350,BEST  BATCH
224653391,330Y 【MAX  BATCH】NIKE SHOX TL黑色AR3566 002 10,Nike/耐克,330,MAX  BATCH
224653979,230Y 【YH  BATCH】W NIKE PEGASUS PREMIUM SE黑灰红IM6778 902 10,Nike/耐克,230,YH  BATCH
224653992,300Y 【灭世  BATCH】KOBE IX ELITE LOW PROTRO紫色IM0465500 10,Nike/耐克,300,灭世  BATCH
224726915,210Y 【YC  BATCH】NIKE DUNK LOW黑白粉BP1120 059 10,Nike/耐克,210,YC  BATCH
224830354,240Y 【ZD  BATCH】SB AIR MAX95灰白HF7545 100 10,Nike/耐克,240,ZD  BATCH
224343849,360Y 【GX  BATCH】KOBE IX ELITE LOW EM PROTRO灰白IH1401 001 10,Nike/耐克,360,GX  BATCH
224343828,210Y 【SS  BATCH】NIKE DUNK LOW SE白粉IQ1145 610 10,Nike/耐克,210,SS  BATCH
224343809,250Y 【YC  BATCH】NIKE DUNK LOW LX黑米蓝HQ3459 212 10,Nike/耐克,250,YC  BATCH
224343680,410Y 【BEST  BATCH】KOBE VIII PROTRO蓝红HM9621900 10,Nike/耐克,410,BEST  BATCH
224343668,330Y 【MAX  BATCH】NIKE SHOX TL白银AV3595 100 10,Nike/耐克,330,MAX  BATCH
224253888,190Y 【TOP  BATCH】NIKE DUNK LOW黑白IF3944001 10,Nike/耐克,190,TOP  BATCH
224271568,170Y 【JG BATCH】Nike Mind 001 拖鞋 14,Nike/耐克,170,JG BATCH
224254010,360Y 【GX  BATCH】KOBE IX ELITE LOW EM PROTRO白蓝IH1401400 10,Nike/耐克,360,GX  BATCH
224253805,240Y 【CK  BATCH】KOBE 8 SYSTEM MC紫黄IO6253 500 10,Nike/耐克,240,CK  BATCH
224253791,220Y 【TOP  BATCH】JA 3 HALLOWEEN EP绿色HV9924 700 10,Nike/耐克,220,TOP  BATCH
224253762,150Y 【SS  BATCH】NIKE FREE METCON 6白色FJ7126 102 10,Nike/耐克,150,SS  BATCH
224253668,150Y 【SS  BATCH】NIKE FREE METCON 6黑色FJ7127 003 10,Nike/耐克,150,SS  BATCH
223971475,120Y 【SS  BATCH】NIKE FREE 3.0 2黑白816568 001 10,Nike/耐克,120,SS  BATCH
224065223,350Y 【BEST  BATCH】KOBE VIII PROTRO黄红IM0594 600 10,Nike/耐克,350,BEST  BATCH
223971685,180Y 【X  BATCH】AIR FORCE 1'O7深灰白FJ4146-004 10,Nike/耐克,180,X  BATCH
223971490,160Y 【SS  BATCH】W NIKE SHOXZ白色HQ7540 101 10,Nike/耐克,160,SS  BATCH
223875783,140Y 【C  BATCH】NIKE INITIATOR黑色IB4339 040 10,Nike/耐克,140,C  BATCH
223875799,150Y 【SS  BATCH】NIKE FREE METCON 6白色FJ7126 103 10,Nike/耐克,150,SS  BATCH
223875775,170Y 【SS  BATCH】NIKE VOMERO PLUS RUN黄色IM5020 100 10,Nike/耐克,170,SS  BATCH
223875761,190Y 【SS  BATCH】NIKE DUNK LOW白绿IQ9793 020 10,Nike/耐克,190,SS  BATCH
223876011,160Y 【SS  BATCH】NIKE SHOX R4红色IQ0608 687 10,Nike/耐克,160,SS  BATCH
223875622,170Y 【SS  BATCH】NIKE VOMERO PLUS QS银白104482100 10,Nike/耐克,170,SS  BATCH
223875583,170Y 【SS  BATCH】NIKE V2K RUN黑米FD0736 012 10,Nike/耐克,170,SS  BATCH
223875994,260Y 【灭世  BATCH】JA 3EP橘黄HF2794 201 10,Nike/耐克,260,灭世  BATCH
223875420,180Y 【YC  BATCH】NIKE DUNK LOW SE白黑双钩HV1800-101 10,Nike/耐克,180,YC  BATCH
223875182,260Y 【MAX  BATCH】AIR FORCE 1 'O7/SUPREME / CDG白黑923044 100 10,Nike/耐克,260,MAX  BATCH
223875151,230Y 【MAX  BATCH】NIKE AIR MAX 90 LTR黑灰黄CD6864 101 10,Nike/耐克,230,MAX  BATCH
